Profile Name,Title,Date,Model name,Model Colour,Verified,Review Text,Votes,Helpful,Review Total,Number of comments
Jay Poojara,Best mobile,4 November 2018,Size: 8+128 GB,Colour: Midnight Black,Verified Purchase,"I haven't used any android device which is this much fast user friendly.
Best android smart phone.; I haven't used any android device which is this much fast user friendly.; Best android smart phone.",One person found this helpful,Helpful,0,Comment
payal,"I must say, it's a good phone. Worth buying",5 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,I just loved it.; I just loved it.,,Helpful,0,Comment
Milan,Amazing experience ....,8 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Powerpack phone....Go for it without any doubt....; Powerpack phone....Go for it without any doubt....,One person found this helpful,Helpful,0,Comment
Ravindra Chauhan,Very good phone,4 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Its very good phone. Its perfectly fit to its cost.; Its very good phone. Its perfectly fit to its cost.,,Helpful,1,1 Comment
Veerabhadr,Speed that you Need😎,5 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"One Plus 6T
1 in Brand
1 in Speed
1 in Performance
Captivating low light image capture, Impressive in-display fingerprint, Hassle free exchange, Loved it😘😘
But I prefer AndroidOS over OxygenOS.; One Plus 6T; 1 in Brand; 1 in Speed; 1 in Performance; Captivating low light image capture, Impressive in-display fingerprint, Hassle free exchange, Loved it😘😘; But I prefer AndroidOS over OxygenOS.",One person found this helpful,Helpful,0,Comment
Md saad,Value for money,6 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,All feature are good; All feature are good,,Helpful,0,Comment
Amazon Customer,Worth it!!,7 November 2018,Size: 8+128 GB,Colour: Midnight Black,Verified Purchase,ordered this phone for my brother and trust me it's really good at the price point!!; ordered this phone for my brother and trust me it's really good at the price point!!,,Helpful,0,Comment
Prema,"One plus 6t 128GB, 8GB ram.",9 November 2018,Size: 8+128 GB,Colour: Midnight Black,Verified Purchase,"Very fast delivery with amazon in just 12hrs, A very good product of one plus, Face lock on time. Camera is outstanding , Fantastic phone, Worthy for 42k. Battery life is good.; Very fast delivery with amazon in just 12hrs, A very good product of one plus, Face lock on time. Camera is outstanding , Fantastic phone, Worthy for 42k. Battery life is good.",,Helpful,0,Comment
Amazon Customer,Cool,5 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Cool; Cool,,Helpful,0,Comment
Allunthulasi,Super Speed,10 November 2018,Size: 8+128 GB,Colour: Midnight Black,Verified Purchase,ok; ok,,Helpful,0,Comment
aseem gupta,Nice phone but not worth upgrade,8 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"I'm a fan of Oneplus. OP 6T is really great in build quality, slightly thicker than oneplus 3 but that feels good in hands. On comparing photos with my OP 3 then OP 6T is a mood off. Also, the finger print scanner animation is very slow. It doesn't give you idea of the instant the phone will get unlocked, eventually making you keep finger for more time. And this happens every time. I still prefer my OP 3 over my dad's OP 6T in terms of low-light photograph and fingerprint. Also, fingerprint animation is poor in UI. Display of phone is nice though.; I'm a fan of Oneplus. OP 6T is really great in build quality, slightly thicker than oneplus 3 but that feels good in hands. On comparing photos with my OP 3 then OP 6T is a mood off. Also, the finger print scanner animation is very slow. It doesn't give you idea of the instant the phone will get unlocked, eventually making you keep finger for more time. And this happens every time. I still prefer my OP 3 over my dad's OP 6T in terms of low-light photograph and fingerprint. Also, fingerprint animation is poor in UI. Display of phone is nice though.",3 people found this helpful,Helpful,1,1 Comment
Prerak Bhavsar,Look and performance,5 November 2018,Size: 8+128 GB,Colour: Mirror Black,Verified Purchase,It's awesome; It's awesome,,Helpful,0,Comment
Shabber a.,Oneplus always,6 November 2018,Size: 8+128 GB,Colour: Mirror Black,Verified Purchase,Awesome phone; Awesome phone,,Helpful,0,Comment
Amazon Customer,Price is too high,5 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Overall performance is good. It doesn't have dual speaker. 3 attempt required to download single app in play store; Overall performance is good. It doesn't have dual speaker. 3 attempt required to download single app in play store,,Helpful,0,Comment
Amazon Customer,Superb performance,4 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Have been using it for a day. I have used one plus 5t earlier. The camera and performance is increased incredibly!!; Have been using it for a day. I have used one plus 5t earlier. The camera and performance is increased incredibly!!,3 people found this helpful,Helpful,0,Comment
Jisha S Kumar,Dash charging and battery life,12 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"I just need to ask the one who buy 6t about the battery life and dash charging. It took me exactly 1 hour and thirty minutes to get my phone full charged.
And in 8 hrs and 30 minutes the battery drains to 38% ...what I did was jz watched a movie....no calls nothing much....
Is the same happening with others too....I am a bit confused as the most I heard about one plus 6t was about dash charging and battery life
Please help as I need to confirm whether I received a defective piece; I just need to ask the one who buy 6t about the battery life and dash charging. It took me exactly 1 hour and thirty minutes to get my phone full charged.; And in 8 hrs and 30 minutes the battery drains to 38% ...what I did was jz watched a movie....no calls nothing much....; Is the same happening with others too....I am a bit confused as the most I heard about one plus 6t was about dash charging and battery life; Please help as I need to confirm whether I received a defective piece",,Helpful,2,2 Comments
Amazon Customer,Best,8 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,The best one; The best one,,Helpful,0,Comment
chetan,Wonderful device,4 November 2018,Size: 8+128 GB,Colour: Midnight Black,Verified Purchase,"Nice phone, fast n smooth. Some time unable to download app. That's issue.; Nice phone, fast n smooth. Some time unable to download app. That's issue.",,Helpful,0,Comment
Manish neogi,Best phone in the world,5 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Amazing🥰; Amazing🥰,,Helpful,0,Comment
Mr. Gowtham Parthipan,Love for OnePlus,4 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"Great beast, worth for money and especially the finger print touch rockssss.
Premium Use.; Great beast, worth for money and especially the finger print touch rockssss.; Premium Use.",One person found this helpful,Helpful,0,Comment
Akash,The Deadliest Oneplus till date !!!!!!!!!,4 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"I ordered the phone on 1st November 2018. Got it delivered on the same day itself
Tremendous improvement by Oneplus in terms of Camera Quality. The night mode photos are brilliant.
The inDisplay finger print sensor is fast and accurate
The notch in beautifully designed and will make you likeeeee the phone even more; I ordered the phone on 1st November 2018. Got it delivered on the same day itself; Tremendous improvement by Oneplus in terms of Camera Quality. The night mode photos are brilliant.; The inDisplay finger print sensor is fast and accurate; The notch in beautifully designed and will make you likeeeee the phone even more",One person found this helpful,Helpful,0,Comment
Vivek,Improve battery life,7 November 2018,Size: 8+128 GB,Colour: Mirror Black,Verified Purchase,Improve battery life; Improve battery life,,Helpful,0,Comment
SIVAKUMARAN,OnePlus6-OnePlus 6T,4 November 2018,Size: 8+128 GB,Colour: Mirror Black,Verified Purchase,"The OnePlus 6T is undeniably the most advanced and accomplished phone from the company till now. The OnePlus 6 is still good, but the 6T gives it a boost in the battery department and a fancy way to unlock at a perfect price.......
Great battery life
Fluid performance
Top-end design
Impressive rear camera.......; The OnePlus 6T is undeniably the most advanced and accomplished phone from the company till now. The OnePlus 6 is still good, but the 6T gives it a boost in the battery department and a fancy way to unlock at a perfect price.......; Great battery life; Fluid performance; Top-end design; Impressive rear camera.......",2 people found this helpful,Helpful,0,Comment
Amazon Customer,Nice :p,4 November 2018,Size: 8+128 GB,Colour: Mirror Black,Verified Purchase,this is fukkknnn awesome. go for it.; this is fukkknnn awesome. go for it.,,Helpful,0,Comment
Chanakya K.,Magnificent phone,11 November 2018,Size: 8+128 GB,Colour: Mirror Black,Verified Purchase,Am using it from Nov 2nd. It is a magnificent phone. Bigger batter makes phone to stand out more. If any one ask me for a premium phone to buy I'll suggest them OnePlus 6t.; Am using it from Nov 2nd. It is a magnificent phone. Bigger batter makes phone to stand out more. If any one ask me for a premium phone to buy I'll suggest them OnePlus 6t.,,Helpful,0,Comment
santhanakrishnan H,Never settle,4 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"Just awesome, loving it's camera quality and battery performance...; Just awesome, loving it's camera quality and battery performance...",2 people found this helpful,Helpful,0,Comment
sreenadh raju,Beast - Android iPhone,8 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Worth 😍👌 - only android phone which replaces iPhone's performance; Worth 😍👌 - only android phone which replaces iPhone's performance,One person found this helpful,Helpful,0,Comment
MB,Excellent!!,4 November 2018,Size: 8+256 GB,Colour: Midnight Black,Verified Purchase,I have received the phone ... nice service and the product is excellent... one plus 6t; I have received the phone ... nice service and the product is excellent... one plus 6t,,Helpful,0,Comment
SURESH KUMAR,6T rocks,8 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Nice awesome phone. Camera clarity is chanceless. Face unlock and indisplay finger sensor is working fine. Dual speakers r rocking.; Nice awesome phone. Camera clarity is chanceless. Face unlock and indisplay finger sensor is working fine. Dual speakers r rocking.,,Helpful,0,Comment
Tushar,This is a real flagship of this Diwali,4 November 2018,Size: 8+128 GB,Colour: Mirror Black,Verified Purchase,"King of all kings
Performance 💯
Display 💯
And finger print in screen scanner 😍; King of all kings; Performance 💯; Display 💯; And finger print in screen scanner 😍",,Helpful,0,Comment
Prashant Singh,Best,4 November 2018,Size: 8+128 GB,Colour: Midnight Black,Verified Purchase,Awesome; Awesome,,Helpful,0,Comment
Saahil-♏,Indeed a flagship killer,4 November 2018,Size: 8+256 GB,Colour: Midnight Black,Verified Purchase,Everything feels fabulous.... And i don't know what rubbish are these people saying about the in screen fingerprint scanner it works like a charm and its almost as fast as the normal one... Go for 😎 worth every rupee 👍; Everything feels fabulous.... And i don't know what rubbish are these people saying about the in screen fingerprint scanner it works like a charm and its almost as fast as the normal one... Go for 😎 worth every rupee 👍,One person found this helpful,Helpful,0,Comment
Amazon Customer,Great Phone worth of money,4 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Great piece.. Great speed.. Picture quality awesome. Face recognition works better than expected.; Great piece.. Great speed.. Picture quality awesome. Face recognition works better than expected.,,Helpful,0,Comment
janee babu,Excellent phone.,4 November 2018,Size: 8+128 GB,Colour: Mirror Black,Verified Purchase,Awesome; Awesome,,Helpful,0,Comment
Joshua,Kudos to OnePlus,9 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,My first one plus phone and I have opted for the ryt one great camera with perfect dash charger ... A complete phone ... Keep up the good work OnePlus; My first one plus phone and I have opted for the ryt one great camera with perfect dash charger ... A complete phone ... Keep up the good work OnePlus,One person found this helpful,Helpful,0,Comment
kulvinder,Nice mobile,9 November 2018,Size: 8+128 GB,Colour: Mirror Black,Verified Purchase,I m waiting for coupon code to purchase c earphone; I m waiting for coupon code to purchase c earphone,,Helpful,0,Comment
Dev,Incredible Performance,4 November 2018,Size: 8+128 GB,Colour: Mirror Black,Verified Purchase,Best phone ever used 😍😍; Best phone ever used 😍😍,One person found this helpful,Helpful,0,Comment
MANDAR KSHIRSAGAR,100% satisfaction,4 November 2018,Size: 8+128 GB,Colour: Mirror Black,Verified Purchase,"awesome mobile... fabulous picture quality, slow motion, night mode and royal look; awesome mobile... fabulous picture quality, slow motion, night mode and royal look",One person found this helpful,Helpful,0,Comment
Vikas P.,V good phone,6 November 2018,Size: 8+128 GB,Colour: Mirror Black,Verified Purchase,A good phone; A good phone,One person found this helpful,Helpful,0,Comment
Måddy16,It's a true flagship killing machine,6 November 2018,Size: 8+128 GB,Colour: Midnight Black,Verified Purchase,The best of the best at much better price.; The best of the best at much better price.,,Helpful,0,Comment
avneet,Power-packed but pricey,4 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"Took the plunge and upgraded from my perfectly fine oneplus 3t. I was looking for a camera, storage and battery upgrade so 6t checks all the boxes. I miss the headphone jack as it's an inconvenience to carry that usb dongle everywhere. It comes installed with android pie and man it's buttery smooth. Thanks to oneplus community, software and user experience is something which oneplus takes very seriously. In screen Fingerprint sensor is pretty good but not quite as fast as the physical sensor. However the difference is minor. Camera is same as oneplus 6 with some software improvements. Bigger battery makes a difference and I am getting 7 hours of SOT. A screen protector is pre-applied on the phone and comes with a silicone case in the box. Although it does the job but I would recommend to get a sturdy bumper case. No need to apply any tempered glass on the screen.
Hate the fact oneplus keep on increasing the prices for every new model and I fear it might reach that flagship price 40k+ very soon.
Overall I liked the phone and wish oneplus could launch it with more colors than just black.; Took the plunge and upgraded from my perfectly fine oneplus 3t. I was looking for a camera, storage and battery upgrade so 6t checks all the boxes. I miss the headphone jack as it's an inconvenience to carry that usb dongle everywhere. It comes installed with android pie and man it's buttery smooth. Thanks to oneplus community, software and user experience is something which oneplus takes very seriously. In screen Fingerprint sensor is pretty good but not quite as fast as the physical sensor. However the difference is minor. Camera is same as oneplus 6 with some software improvements. Bigger battery makes a difference and I am getting 7 hours of SOT. A screen protector is pre-applied on the phone and comes with a silicone case in the box. Although it does the job but I would recommend to get a sturdy bumper case. No need to apply any tempered glass on the screen.; Hate the fact oneplus keep on increasing the prices for every new model and I fear it might reach that flagship price 40k+ very soon.; Overall I liked the phone and wish oneplus could launch it with more colors than just black.",One person found this helpful,Helpful,0,Comment
MIDHUN RAJA,Best premium phone,12 November 2018,Size: 8+128 GB,Colour: Mirror Black,Verified Purchase,Battery drains quickly.. phone gets heated while using camera... Other than these 2 issues everything else is great ... Feel a premium phone videos n pictures are awesome. U should not use headphones while charging so 3.5 mm jack is not required. C type connector works great.; Battery drains quickly.. phone gets heated while using camera... Other than these 2 issues everything else is great ... Feel a premium phone videos n pictures are awesome. U should not use headphones while charging so 3.5 mm jack is not required. C type connector works great.,,Helpful,0,Comment
prasanth,best phone for the price in India,6 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"most powerful phone, price, quality everything is best in India
I got hdfc 1500+1000 amazone payback+4000 for exchange +5000 cashback on jio : now do the math; most powerful phone, price, quality everything is best in India; I got hdfc 1500+1000 amazone payback+4000 for exchange +5000 cashback on jio : now do the math",17 people found this helpful,Helpful,0,Comment
SHIJO FRANCIS,Feel really happy with 6t,8 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Picture quality and sound quality is very good . The battery life is better compared to 6 and it will easily last for a day; Picture quality and sound quality is very good . The battery life is better compared to 6 and it will easily last for a day,,Helpful,0,Comment
Amazon Customer,Best in present phones,5 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Best in present phones; Best in present phones,,Helpful,0,Comment
Amazon Customer,Good,9 November 2018,Size: 8+128 GB,Colour: Midnight Black,Verified Purchase,👍; 👍,,Helpful,0,Comment
RD Gokulkumar,Amazing #OP6t !,4 November 2018,Size: 8+128 GB,Colour: Midnight Black,Verified Purchase,Amazing ! As always OnePlus rocks !!; Amazing ! As always OnePlus rocks !!,,Helpful,0,Comment
User since 2014,Best Phone in the Market right now,5 November 2018,Size: 8+128 GB,Colour: Mirror Black,Verified Purchase,You might find cheaper phones with similar specifications but you won't find the quality build and level of performance provided by 6T within the price range. The phone lives up to the hype. Its a true geeks companion. The huge number of settings available might overwhelm someone who is only using phones to click selfies and tiktok videos. Picture quality is undeniably good. Sound quality is amazing. Battery life extends upto 24 hours. Dash charging FTW. Power management is great. Stock OS is the best. No longer there's a NEED to flash some custom ROM unless you WANT to. In the end it all boils down to how you treat your phone. Be it any phone. Treat the device well. And let the device show you what true performance is. Money well spent.; You might find cheaper phones with similar specifications but you won't find the quality build and level of performance provided by 6T within the price range. The phone lives up to the hype. Its a true geeks companion. The huge number of settings available might overwhelm someone who is only using phones to click selfies and tiktok videos. Picture quality is undeniably good. Sound quality is amazing. Battery life extends upto 24 hours. Dash charging FTW. Power management is great. Stock OS is the best. No longer there's a NEED to flash some custom ROM unless you WANT to. In the end it all boils down to how you treat your phone. Be it any phone. Treat the device well. And let the device show you what true performance is. Money well spent.,,Helpful,0,Comment
Gopinath mishra,Fingerprint sensor just sucks,7 November 2018,Size: 8+128 GB,Colour: Mirror Black,Verified Purchase,"Fingerprint scanner like does not works at all, so slow n many time it doesn't open also; Fingerprint scanner like does not works at all, so slow n many time it doesn't open also",,Helpful,0,Comment
Amazon Customer,Can be Improved!,8 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"The 6t is good and fast. However, the functioning of fingerprint scanner is suboptimal.; The 6t is good and fast. However, the functioning of fingerprint scanner is suboptimal.",,Helpful,0,Comment
Divyagunaselvan,Type C bullet headset,4 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,When will I get type C bullet headset and when should I add that gift card ?; When will I get type C bullet headset and when should I add that gift card ?,One person found this helpful,Helpful,0,Comment
Krishna,OnePlus 6T new,5 November 2018,Size: 8+256 GB,Colour: Midnight Black,Verified Purchase,Purchased recently need to review after 6 months; Purchased recently need to review after 6 months,,Helpful,0,Comment
Tushar Singh,For iPhone users,4 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Phone is working very fast everything is properly functioning only front camera is not that much good as expected if you are using iPhone than don't go for Android because there is nothing better than crome mode in front camera of iPhone and if you want speed than this is perfect for this; Phone is working very fast everything is properly functioning only front camera is not that much good as expected if you are using iPhone than don't go for Android because there is nothing better than crome mode in front camera of iPhone and if you want speed than this is perfect for this,,Helpful,0,Comment
Amazon Customer,quit difficult to understand Amazon Delivery Service,7 November 2018,Size: 8+256 GB,Colour: Midnight Black,Verified Purchase,"chOice Of One PlUs Is Lyk ... nothiNg BeTteR Den that ... nEver seTtle EvEr Settle.. AwesomE thaNk You One Plus ..
But I Didn'T Get AbOut tHe Delivery Point The Delivery Boy Came And He Has Taken The Outer Body Off The Parcel Which also mention my Delivery Copy He said There is N technical Problem He Asked me For Otp I Given Him ..I Asked him To Give me Back That He deNied ... Amazon must has His Monogram Atleast one Can Easily take Or recieve the Parsal; chOice Of One PlUs Is Lyk ... nothiNg BeTteR Den that ... nEver seTtle EvEr Settle.. AwesomE thaNk You One Plus ..; But I Didn'T Get AbOut tHe Delivery Point The Delivery Boy Came And He Has Taken The Outer Body Off The Parcel Which also mention my Delivery Copy He said There is N technical Problem He Asked me For Otp I Given Him ..I Asked him To Give me Back That He deNied ... Amazon must has His Monogram Atleast one Can Easily take Or recieve the Parsal",One person found this helpful,Helpful,0,Comment
Amazon Customer,Awesome OnePlus Phone till date,8 November 2018,Size: 8+128 GB,Colour: Midnight Black,Verified Purchase,"This Phone is like a dream phone. Its a bit heavy on the price but damn is it worth it. I had used a OnePlus 3 earlier and i found this is a worthy upgrade. The new bigger battery can last an entire day with still 20% juice left in it. The indisplay fingerprint sensor is upto mark though not that quick with the traditional one, but it sure does the job efficiently.; This Phone is like a dream phone. Its a bit heavy on the price but damn is it worth it. I had used a OnePlus 3 earlier and i found this is a worthy upgrade. The new bigger battery can last an entire day with still 20% juice left in it. The indisplay fingerprint sensor is upto mark though not that quick with the traditional one, but it sure does the job efficiently.",One person found this helpful,Helpful,0,Comment
bhasker,Nice,7 November 2018,Size: 8+128 GB,Colour: Mirror Black,Verified Purchase,Good mobile.; Good mobile.,,Helpful,0,Comment
Avinash,Worst service by Amazon,7 November 2018,Size: 8+256 GB,Colour: Midnight Black,Verified Purchase,"Mobile is good but they give me a faulty camera which takes photos poor that one plus 2 and then they are not ready to replace, it is one case in thousands but it should be addressed. Worst service by Amazon; Mobile is good but they give me a faulty camera which takes photos poor that one plus 2 and then they are not ready to replace, it is one case in thousands but it should be addressed. Worst service by Amazon",,Helpful,0,Comment
K Sujith Kumar,Expectations met.,11 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Worth buying; Worth buying,One person found this helpful,Helpful,0,Comment
Dimpy,"Excellent camera, display and battery!",6 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"Excellent battery life and charging, great camera and surprisingly good display and speakers!; Excellent battery life and charging, great camera and surprisingly good display and speakers!",,Helpful,0,Comment
Naveen,ONEPLUS 6T The best flagship killer Now,6 November 2018,Size: 8+128 GB,Colour: Mirror Black,Verified Purchase,"In Love with this device, the picture quality is so rich
The real beast is here, I saw people comparing cheap Poco with this Premium device.
Pros :
Fastest in display finger print sensor
Navigation Gestures
Bigger battery
No cons as of now
Well if you are switching from a older device rather than one plus 6, this will is a best upgrade; In Love with this device, the picture quality is so rich; The real beast is here, I saw people comparing cheap Poco with this Premium device.; Pros :; Fastest in display finger print sensor; Navigation Gestures; Bigger battery; No cons as of now; Well if you are switching from a older device rather than one plus 6, this will is a best upgrade",,Helpful,0,Comment
arun,Flagship killer,6 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"Nice fast, smooth and big 6.41"" Amoled display pleasing. Phone very fast and smooth without any lagging at all. Battery backup is awesome improvement. Camera also good improvement. They covered overall every aspect and this is real flagship killer.; Nice fast, smooth and big 6.41"" Amoled display pleasing. Phone very fast and smooth without any lagging at all. Battery backup is awesome improvement. Camera also good improvement. They covered overall every aspect and this is real flagship killer.",,Helpful,0,Comment
Ajay nandakumar,Switching from Budget Phones to this 'flagship killer'..,4 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,From LCD to this superb AMOLED display was the first thing that struck me while switching from previous budget phones to this device. The tech specs didn't bother me much since the previous phones I've used was far below this. The camera did surprise me but didn't quite meet the hype. The night scape feature was a let down. From 3 days usage it deserve a 5 star rating.; From LCD to this superb AMOLED display was the first thing that struck me while switching from previous budget phones to this device. The tech specs didn't bother me much since the previous phones I've used was far below this. The camera did surprise me but didn't quite meet the hype. The night scape feature was a let down. From 3 days usage it deserve a 5 star rating.,3 people found this helpful,Helpful,0,Comment
Yash,Broken phone,9 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,I got broken phone; I got broken phone,14 people found this helpful,Helpful,2,2 Comments
Amazon Customer,6T,5 November 2018,Size: 8+128 GB,Colour: Mirror Black,Verified Purchase,It's awesome; It's awesome,,Helpful,0,Comment
Amazon Customer,Simply Awesome,5 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"Sometimes missed the headphone jack while driving. Other than that this device is a superb package. Few things OnePlus users alone knows,especially in software tweaks done by OnePlus. Stop complaining about the things which are not in the phone(after knowing we buy) enjoy the beast.; Sometimes missed the headphone jack while driving. Other than that this device is a superb package. Few things OnePlus users alone knows,especially in software tweaks done by OnePlus. Stop complaining about the things which are not in the phone(after knowing we buy) enjoy the beast.",,Helpful,0,Comment
Mahesh I,Good but best if battery backup works well,7 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"Awesome mobile. You won't regret after buying it except for battery.
Battery discharges very fast. One plus guys plz do something for this.; Awesome mobile. You won't regret after buying it except for battery.; Battery discharges very fast. One plus guys plz do something for this.",,Helpful,0,Comment
Venkatesh,Awesome product,7 November 2018,Size: 8+128 GB,Colour: Mirror Black,Verified Purchase,"Awesome product, camera quality was good and battery and performance was good.. worthable for money.. android kha baap this mobile..I like very much one plus mobile.; Awesome product, camera quality was good and battery and performance was good.. worthable for money.. android kha baap this mobile..I like very much one plus mobile.",,Helpful,0,Comment
Amazon Customer,Thanks amazon nd bluedart....,4 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Very nice product... i like it!; Very nice product... i like it!,,Helpful,1,1 Comment
Amazon Customer,Good mobile,5 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Its a great mobile but I am audio jack is with charging point is not good; Its a great mobile but I am audio jack is with charging point is not good,,Helpful,0,Comment
vikas kumar,Must have,12 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"I was oneplus 3t user before buying this.. OnePlus is best in terms of updates. It just an amazing phone with blazing fast speed. Main thing is now it come with 128gb base variant.
Battery life is seriously good compare to oneplus 3t or even oneplus 6.
Sound quality is expected loud enough.
You can go for it anytime.; I was oneplus 3t user before buying this.. OnePlus is best in terms of updates. It just an amazing phone with blazing fast speed. Main thing is now it come with 128gb base variant.; Battery life is seriously good compare to oneplus 3t or even oneplus 6.; Sound quality is expected loud enough.; You can go for it anytime.",One person found this helpful,Helpful,1,1 Comment
om rai,product review,9 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"Product, service every thing good but back cover quality very poor.; Product, service every thing good but back cover quality very poor.",,Helpful,0,Comment
Virat chikara,Best in class,4 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"Beast in budget .. fan of oneplus. .
But there is no need to buy oneplus 6T if u have oneplus 6 ..
Nightscape mode works perfectly .. 1 day delivery by Amazon.
Thanks ..; Beast in budget .. fan of oneplus. .; But there is no need to buy oneplus 6T if u have oneplus 6 ..; Nightscape mode works perfectly .. 1 day delivery by Amazon.; Thanks ..",,Helpful,0,Comment
Sandhya,Perfect phone,4 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,😍😘excited one; 😍😘excited one,,Helpful,0,Comment
Bhargava Sai,The Best 💜,4 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,You can never find something better in market than OnePlus. OnePlus 6T is just amazing the smoothness in operation n the underdisplay fingerprint is appreciable.; You can never find something better in market than OnePlus. OnePlus 6T is just amazing the smoothness in operation n the underdisplay fingerprint is appreciable.,,Helpful,0,Comment
Raj Kumar Pandey,The beast performance...,6 November 2018,Size: 8+128 GB,Colour: Mirror Black,Verified Purchase,Amazing phone loved it and proud to be a member of OnePlus community...😍😍😍; Amazing phone loved it and proud to be a member of OnePlus community...😍😍😍,,Helpful,0,Comment
Rehan Sayed,True Competitor to Google Pixel 3 Worth 75K,6 November 2018,Size: 8+256 GB,Colour: Midnight Black,Verified Purchase,"True Competitor to Google Pixel 3 Worth 75K, Excellent Device go ahead and buy it.; True Competitor to Google Pixel 3 Worth 75K, Excellent Device go ahead and buy it.",,Helpful,0,Comment
Amazon Customer,Speedy Machine- The new OnePlus,5 November 2018,Size: 8+128 GB,Colour: Mirror Black,Verified Purchase,Awesome device with a premium look. Fully satisfied with my new Oneplus 6t. Also the fingerprint works very well.; Awesome device with a premium look. Fully satisfied with my new Oneplus 6t. Also the fingerprint works very well.,One person found this helpful,Helpful,0,Comment
Nirav,Super phone,5 November 2018,Size: 8+128 GB,Colour: Midnight Black,Verified Purchase,Bestest ever phone. Super speed. Duo network.; Bestest ever phone. Super speed. Duo network.,,Helpful,0,Comment
GSP,Overall good phone,5 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,"Bought this phone overall I think good
Only thing as of now ifound slow motion video..not good...it's blinking...donno it's only in my phone?; Bought this phone overall I think good; Only thing as of now ifound slow motion video..not good...it's blinking...donno it's only in my phone?",One person found this helpful,Helpful,0,Comment
Hardik,Awesome,5 November 2018,Size: 8+128 GB,Colour: Midnight Black,Verified Purchase,Awesome phone I would recommend; Awesome phone I would recommend,,Helpful,0,Comment
Amazon Customer,Awesome,6 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Flagship in budget; Flagship in budget,,Helpful,0,Comment
Amazon Customer,Worth for money,11 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,Awesome mobile worth for money; Awesome mobile worth for money,,Helpful,0,Comment
Varun Nair,Amazing performance and battery life,5 November 2018,Size: 6+128 GB,Colour: Mirror Black,Verified Purchase,I haven't seen any app in play store which can slow this phone down.; I haven't seen any app in play store which can slow this phone down.,,Helpful,0,Comment
Christopher,Must try phone,6 November 2018,Size: 8+128 GB,Colour: Mirror Black,Verified Purchase,The flagship to try; The flagship to try,,Helpful,0,Comment
